time,pos_error,Position [cnt],Actual Velocity 0x606C,Velocity [cnt/sec],Active Current [A],current_command,index,
0.274,-219,23658149,-2685593,-2689963.98925781,-0.582548558458825,-0.589597660267714,274,
0.275,-224,23655406,-2738254,-2743826.29394531,-0.568760010857716,-0.568160908324501,275,
0.276,-179,23652602,-2800142,-2805062.25585938,-0.488989135353336,-0.495813362463139,276,
0.277,-115,23649769,-2833654,-2834814.75830078,-0.421249742809721,-0.426393870378945,277,
0.278,-44,23646919,-2848072,-2849600.52490234,-0.391597371360717,-0.386071375780489,278,
0.279,36,23644050,-2868585,-2869402.77099609,-0.338834943608276,-0.339030349053701,279,
0.28,85,23641203,-2853213,-2848897.70507813,-0.323438085962664,-0.316309800938143,280,
0.281,78,23638401,-2803107,-2799856.26220703,-0.373427305550365,-0.373697528396065,281,
0.282,47,23635613,-2786161,-2786038.20800781,-0.43313127409624,-0.438898762640463,282,
0.283,6,23632825,-2787833,-2788002.9296875,-0.473017292783538,-0.47262753813834,283,
0.284,-52,23630045,-2781756,-2779783.93554688,-0.516319421155117,-0.510596400552799,284,
0.285,-113,23627257,-2784919,-2787584.22851563,-0.559496842123508,-0.563223945735615,285,
0.286,-140,23624425,-2826269,-2830917.05322266,-0.566179426691519,-0.56783558466401,286,
0.287,-128,23621544,-2876831,-2880633.54492188,-0.51882170231039,-0.520419133024689,287,
0.288,-86,23618623,-2918146,-2921436.76757813,-0.460900817256061,-0.462464096027645,288,
0.289,-26,23615675,-2946249,-2948793.02978516,-0.417722903373033,-0.410379813191298,289,
0.29,46,23612704,-2968800,-2970737.3046875,-0.365629783281406,-0.359016734885415,290,
0.291,105,23609736,-2971013,-2969777.83203125,-0.32163687025411,-0.322436236962744,291,
0.292,132,23606790,-2948423,-2946574.09667969,-0.331862912523718,-0.330673650337133,292,
0.293,145,23603848,-2939836,-2941086.42578125,-0.353811098611118,-0.352811291686123,293,
0.294,159,23600896,-2952198,-2953429.87060547,-0.336142503027645,-0.34336049851612,294,
0.295,151,23597955,-2943799,-2940685.42480469,-0.341432251663946,-0.342852902064465,295,
0.296,109,23595038,-2917005,-2915641.78466797,-0.398065714102529,-0.396204679681944,296,
0.297,65,23592113,-2922688,-2924455.56640625,-0.435458429722587,-0.440225724051743,297,
0.298,44,23589156,-2952047,-2956209.10644531,-0.433773084161942,-0.435247990380731,298,
0.299,38,23586173,-2982515,-2984455.26123047,-0.416389991777919,-0.407190338615521,299,
0.3,38,23583174,-2999607,-3000021.05712891,-0.379285983302452,-0.390797934235707,300,
0.301,39,23580164,-3008198,-3010005.79833984,-0.388975276740439,-0.389791261713981,301,
0.302,48,23577136,-3025768,-3027814.94140625,-0.380958196208837,-0.37961760922866,302,
0.303,50,23574106,-3030445,-3030585.02197266,-0.380865739506191,-0.373842550923939,303,
0.304,48,23571069,-3035144,-3036380.61523438,-0.385097235624812,-0.383032310585406,304,
0.305,51,23568017,-3050544,-3051974.18212891,-0.380098940371795,-0.377341646308196,305,
