VEL: {v: -7.28378, s: 0.407809, e: -0.506468, r: -0.126571, p: -0.780888}
POS: {v: 155.7, s: -17.443, e: 88.8322, r: -6.92786, p: 18.6577}
VEL: {v: -8.67499, s: 0.423148, e: -0.524579, r: -0.09453, p: -0.48746}
POS: {v: 155.28, s: -17.423, e: 88.8071, r: -6.93196, p: 18.6383}
VEL: {v: -8.17867, s: 0.596962, e: -0.613046, r: -0.22425, p: -0.748971}
POS: {v: 154.847, s: -17.3948, e: 88.7759, r: -6.94499, p: 18.6056}
VEL: {v: -9.07495, s: 0.562227, e: -0.631581, r: -0.277328, p: -0.560417}
POS: {v: 154.262, s: -17.3643, e: 88.7401, r: -6.95772, p: 18.5794}
VEL: {v: -10.1791, s: 0.485405, e: -0.592447, r: -0.134169, p: -0.268892}
POS: {v: 153.737, s: -17.3386, e: 88.7085, r: -6.96402, p: 18.5656}
VEL: {v: -9.87582, s: 0.438089, e: -0.572076, r: -0.0619397, p: -0.211744}
POS: {v: 153.382, s: -17.323, e: 88.6888, r: -6.96647, p: 18.5592}
VEL: {v: -9.62142, s: 0.506383, e: -0.706385, r: -0.0931934, p: -1.0931}
POS: {v: 152.878, s: -17.2836, e: 88.6454, r: -6.97345, p: 18.4939}
VEL: {v: -7.80071, s: 0.54115, e: -0.639256, r: -0.114267, p: -0.759115}
POS: {v: 152.44, s: -17.2563, e: 88.6133, r: -6.97683, p: 18.4622}
VEL: {v: -10.0102, s: 0.571855, e: -0.686289, r: -0.0270792, p: -0.472187}
POS: {v: 151.943, s: -17.2301, e: 88.5813, r: -6.97784, p: 18.4418}
VEL: {v: -9.88055, s: 0.483838, e: -0.60185, r: -5.49273e-05, p: -0.281404}
POS: {v: 151.462, s: -17.2073, e: 88.5525, r: -6.97824, p: 18.4294}
VEL: {v: -10.2198, s: 0.467524, e: -0.622481, r: 0.0171373, p: -0.203364}
POS: {v: 150.872, s: -17.1775, e: 88.5156, r: -6.97969, p: 18.4231}
VEL: {v: -11.2788, s: 0.560859, e: -0.702314, r: -0.166485, p: -0.108193}
POS: {v: 150.234, s: -17.1469, e: 88.4775, r: -6.9856, p: 18.4202}
VEL: {v: -11.1655, s: 0.524922, e: -0.683951, r: -0.0258342, p: -0.00554776}
