MTN: Move Mode -GRAVITY_ZONE
VEL: {v: 6.29951, s: 0.191003, e: -0.233197, r: -0.266599, p: -1.17011}
POS: {v: 223.779, s: 2.62578, e: 68.2377, r: -11.4903, p: -5.39612}
VEL: {v: 2.63096, s: 0.184304, e: -0.205918, r: -0.182524, p: -0.535487}
POS: {v: 223.889, s: 2.63655, e: 68.226, r: -11.5011, p: -5.42318}
VEL: {v: 1.19952, s: 0.183959, e: -0.224807, r: -0.138618, p: -0.289343}
POS: {v: 223.942, s: 2.64809, e: 68.2121, r: -11.5092, p: -5.43757}
VEL: {v: 0.685761, s: 0.190614, e: -0.235606, r: -0.124063, p: -0.198443}
POS: {v: 223.959, s: 2.6543, e: 68.2043, r: -11.5127, p: -5.44256}
VEL: {v: 0.324781, s: 0.214096, e: -0.289488, r: -0.155371, p: -0.163114}
POS: {v: 224.02, s: 2.66991, e: 68.1858, r: -11.5211, p: -5.46506}
VEL: {v: 0.778234, s: 0.197849, e: -0.258975, r: -0.135286, p: -0.293358}
POS: {v: 224.044, s: 2.67664, e: 68.1773, r: -11.5253, p: -5.4743}
VEL: {v: 0.472366, s: 0.178821, e: -0.226768, r: -0.075342, p: -0.211581}
POS: {v: 224.069, s: 2.68874, e: 68.1611, r: -11.5308, p: -5.48502}
VEL: {v: 0.139137, s: 0.160793, e: -0.222328, r: -0.0750674, p: -0.087209}
POS: {v: 224.075, s: 2.69443, e: 68.1533, r: -11.5336, p: -5.48795}
VEL: {v: -0.112859, s: 0.0219986, e: -0.103937, r: -0.0538654, p: 0.556564}
POS: {v: 224.044, s: 2.69529, e: 68.1471, r: -11.5343, p: -5.45675}
VEL: {v: -2.24486, s: 0.025516, e: -0.111954, r: -0.000183091, p: 0.620723}
POS: {v: 223.874, s: 2.7128, e: 68.123, r: -11.5341, p: -5.42755}
VEL: {v: -5.31556, s: 0.820741, e: -0.897673, r: 0, p: 0.360999}
POS: {v: 223.634, s: 2.74297, e: 68.0878, r: -11.534, p: -5.41575}
VEL: {v: -7.09247, s: 0.492813, e: -0.724532, r: 0.00082391, p: 0.283563}
POS: {v: 223.323, s: 2.76232, e: 68.0587, r: -11.534, p: -5.40652}
VEL: {v: -8.39036, s: 0.274806, e: -0.572107, r: 0.000494346, p: 0.187765}
POS: {v: 222.688, s: 2.76503, e: 68.0348, r: -11.5337, p: -5.36371}
VEL: {v: -10.5647, s: -0.0812377, e: -0.227389, r: 0.0212935, p: 0.719584}
POS: {v: 222.186, s: 2.76027, e: 68.0247, r: -11.5327, p: -5.33953}
VEL: {v: -13.1114, s: -0.126534, e: -0.209812, r: 0.0445644, p: 0.419611}
POS: {v: 221.435, s: 2.75276, e: 68.0137, r: -11.5289, p: -5.31822}
